,max_Speed(RPM),min_Speed(RPM),max_Torque(kg.cm),min_Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,label,motor_name
1,3573.0,1358.0,12.4,3.0,0.35,38.0,340,21.0,104,8,1.0,EAU63563101
3,2309.0,843.0,23.0,6.0,0.4,37.2,300,36.0,104,8,1.0,4681A20172Z
4,2434.0,1286.0,19.4,8.2,0.47,20.6,210,41.0,104,8,1.0,EAU62903307
5,3880.0,1584.0,10.0,3.0,0.35,38.0,340,21.0,104,8,1.0,EAU62023302
7,1395.0,1025.0,27.7,2.0,0.52,18.85,218,42.0,107,10,1.0,EAU62244104
8,2434.0,1286.0,19.4,8.2,0.47,20.6,210,41.0,104,8,1.0,EAU62903306
9,1395.0,1025.0,27.7,2.0,0.52,18.85,218,42.0,107,10,1.0,EAU62244103
10,2588.0,891.0,20.0,5.0,0.35,43.0,320,30.0,104,8,1.0,EAU63483801
12,3996.0,1522.0,13.0,3.5,0.37,34.2,320,21.0,104,8,1.0,EAU62023304
17,2120.0,931.0,19.0,6.0,0.35,43.0,320,30.0,104,8,1.0,4681A20172S
20,1348.0,976.0,18.4,3.3,0.4,37.0,294,35.0,94,8,1.0,EAU31898201
21,2640.0,961.0,20.0,5.0,0.35,43.0,320,30.0,104,8,1.0,4681A20172Y
22,3996.0,1530.0,13.0,3.5,0.4,36.6,300,32.5,104,8,1.0,EAU62903305
24,2235.0,803.0,20.0,5.0,0.35,48.8,350,30.0,104,8,1.0,4681A20172R
25,2588.0,891.0,20.0,5.0,0.35,43.0,320,30.0,104,8,1.0,EAU63483802
26,2770.0,1200.0,40.8,8.2,0.62,7.16,175,18.0,135,8,1.0,EAU39857401
29,4200.0,558.0,19.2,0.6,0.37,45.0,320,32.5,104,8,1.0,EAU36288424
30,3996.0,1530.0,13.0,3.5,0.4,36.6,300,32.5,104,8,1.0,EAU62903304
38,2548.0,874.0,17.5,2.5,0.37,24.5,360,35.0,95,8,1.0,EAU36288415
39,1360.0,990.0,20.0,4.0,0.41,20.9,205,30.5,102,8,1.0,EAU62244102
42,1360.0,990.0,20.0,4.0,0.41,20.9,205,30.5,102,8,1.0,EAU62244101
46,2235.0,803.0,20.0,5.0,0.35,48.8,350,30.0,104,8,1.0,4681A20172Q
48,2024.0,825.0,19.0,6.0,0.35,43.0,320,30.0,104,8,1.0,4681A20172H
50,2120.0,931.0,19.0,6.0,0.35,43.0,320,30.0,104,8,1.0,4681A20172X
